========================================= DAILY STATISTICS =========================================
| Code  | Description                                  | Quantity  | Unit price  | Into money      |
----------------------------------------------------------------------------------------------------
| 1     | Tra sua truyen thong                         | 7         | 18000       | 126000          |
| 2     | Tra sua Kem trung                            | 5         | 23000       | 115000          |
| 3     | Tra sua Rainbow                              | 0         | 23000       | 0               |
| 4     | Tra sua Pho mai vien                         | 26        | 32000       | 832000          |
| 5     | Tra sua Cookie Kem sua                       | 10        | 29000       | 290000          |
| 6     | Tac xi muoi                                  | 0         | 22000       | 0               |
| 7     | Tra Xoai nha dam                             | 0         | 27000       | 0               |
| 8     | Tra Lai canh mat ong                         | 0         | 25000       | 0               |
| 9     | Sua tuoi Suong sao                           | 0         | 26000       | 0               |
| 10    | O long Sua tuoi                              | 0         | 27000       | 0               |
| 11    | Tra Xoai Kem sua                             | 0         | 28000       | 0               |
| 12    | Tra Dao                                      | 0         | 26000       | 0               |
| 13    | Matcha Oreo Kem sua                          | 0         | 33000       | 0               |
| 14    | Chanh Tuyet xay                              | 0         | 28000       | 0               |
| 15    | Tac xay                                      | 0         | 28000       | 0               |
| 16    | Matcha Da xay                                | 0         | 32000       | 0               |
| 17    | Cacao Banh Brulee trung                      | 2         | 40000       | 80000           |
| 18    | Soda Blue Ocean                              | 2         | 22000       | 44000           |
| 19    | Tra gung nong                                | 0         | 22000       | 0               |
| 20    | Yaourt Vai tuoi                              | 0         | 29000       | 0               |
| 21    | Tra Chanh                                    | 0         | 21000       | 0               |
----------------------------------------------------------------------------------------------------

================= STAFF REVENUE ==================
- Nguyen Anh Khoa     : 1487000 VND
  Login: 10:22:12 | Logout: 10:25:55

--------------------------------------------------
TOTAL DAILY REVENUE: 1487000 VND
==================================================
